Gene	Name	Condition	TPM.RNA	TPM.Ssd1	ratio.Ssd1.RNA
YNL066W	SUN4	30	160.63815097897054	36778.39013176707	228.95177706933268
YIL123W	SIM1	30	197.27773944453077	12839.717173976576	65.08447030125647
YDR525W-A	SNA2	30	26.50726024542341	1307.153354634183	49.313031317895955
YNL300W	TOS6	30	468.1319276107199	21935.44387770698	46.85739763502658
YGR041W	BUD9	30	46.00156778847506	1987.601680626446	43.20725958223553
YIL042C	PKP1	30	23.309294761764406	776.513469357033	33.31346903857398
YOR247W	SRL1	30	1192.5533689026745	38451.62709747744	32.24310802363388
YHR143W	DSE2	30	463.9273769530572	14631.376594303674	31.538075399642043
YKR042W	UTH1	30	1155.265101654945	29564.11398539138	25.590761759391913
YDR441C	APT2	30	28.92801025517526	687.3489002213357	23.760669819949616
YLR286C	CTS1	30	832.221927443805	18514.036810818427	22.246514061080862
YHR167W	THP2	30	24.89489265302452	479.8682196480813	19.275769786851495
YDR528W	HLR1	30	51.54504052008442	988.0042681624604	19.16778526495651
YBR158W	AMN1	30	210.70539298340117	3710.559556066903	17.610178380005735
YMR195W	ICY1	30	129.59099188872577	2275.536790074958	17.559374744417912
YOR383C	FIT3	30	80.0243010068876	1387.8205533483474	17.34248891757142
YCL051W	LRE1	30	31.80678446337177	524.8112155049271	16.49997710737758
YGR203W	YCH1	30	30.54516284891303	485.06945931262993	15.880401807381146
YOR248W	NA	30	1002.6671309335703	15911.838302505537	15.869512235521505
YLR110C	CCW12	30	8818.115055541963	119828.4341029485	13.588894378015555
YGL178W	MPT5	30	20.618065596327565	265.9395408876733	12.898374954003527
YJL159W	HSP150	30	1019.8007290410374	12502.199111022655	12.25945300390108
YKL061W	BLI1	30	47.452922890675715	521.6113201259087	10.992185272288106
YLR190W	MMR1	30	77.99479702100248	850.9476554463004	10.910313097130782
YIL134W	FLX1	30	20.714920609626645	208.31220203445605	10.056142910711863
YGR014W	MSB2	30	87.91891835827938	804.2792086698707	9.147965235335851
YER046W	SPO73	30	20.90242857257039	189.14051561998423	9.048733976691468
YKL109W	HAP4	30	36.89531601535124	333.0055153590579	9.025685407342829
YKL043W	PHD1	30	74.72849258107166	674.3336437489799	9.023782234298475
YPR065W	ROX1	30	85.20004101358623	761.054465127665	8.932559844734174
YEL061C	CIN8	30	40.13424526335133	353.228380475402	8.801171621830726
YCL037C	SRO9	30	30.552970701192343	263.07502268580186	8.610456418744748
YNR020C	ATP23	30	30.83396972146204	262.80900652966324	8.523359428051023
YPL076W	GPI2	30	21.356402350114067	179.60622678357464	8.409947698078247
YJR147W	HMS2	30	64.70952082961497	543.5434940157952	8.39974530868473
YOR174W	MED4	30	51.624892169692586	432.1581379830479	8.371119431349726
YPL056C	LCL1	30	20.460362774165006	170.17128285081245	8.3171195315112
YDR320C-A	DAD4	30	135.59339549633353	1090.3140439374808	8.041055686720103
YIL152W	NA	30	37.11953634680886	286.2496636995848	7.711563555782224
YDL232W	OST4	30	261.7227513253477	1919.151877192268	7.332766706271436
YPL269W	KAR9	30	22.308886706181408	162.07721641967007	7.265141401016719
YHR007C-A	NA	30	64.87682482850497	454.58629710200887	7.0069134595236395
YJR120W	NA	30	106.75566650107893	728.43833810967794	6.823416142526878
YKL101W	HSL1	30	82.94826284254975	565.5741118233423	6.818396099468658
YBR162C	TOS1	30	635.4323900662603	4158.371466593237	6.544160372686729
YLR040C	AFB1	30	23.872523530207687	154.23017487440404	6.460572745032383
YGR279C	SCW4	30	638.3417340803468	4123.869757155034	6.460285356551622
YGR146C	ECL1	30	41.853726739245474	264.7362503640593	6.3252730638158665
YDR133C	NA	30	866.7953164973039	5427.893491049295	6.262024479992882
YDR527W	RBA50	30	75.86248503208179	464.0571117917717	6.117082924393061
YPL189C-A	COA2	30	52.56493000105788	316.78819141259265	6.026607310353447
YLR285C-A	NA	30	680.8823796215984	4076.72901529128	5.987420349395633
YJL079C	PRY1	30	149.1595515538637	887.2402596770432	5.9482631211628965
YDR524C-A	NA	30	34.757633269422776	204.3362454851326	5.87888835529238
YPR140W	TAZ1	30	40.37343392729041	237.33641793237024	5.878529390385661
YBR262C	MIC12	30	75.8752627898908	439.1128637149112	5.787299411810619
YNL147W	LSM7	30	135.9346861060294	779.0558616800838	5.731104282481796
YOR385W	NA	30	29.98391755222194	171.00306170063794	5.70315941547024
YDR059C	UBC5	30	33.11914482352993	188.6011152383906	5.694625155429632
YGR221C	TOS2	30	25.027350852820305	142.40551633628604	5.6899956041587405
YJL158C	CIS3	30	923.4539847240508	5212.953561369801	5.645060444378884
YGL122C	NAB2	30	96.14461320876205	519.7190015483889	5.405596675706682
YPL256C	CLN2	30	138.59788253123602	748.7036059220202	5.40198444772981
YDL222C	FMP45	30	21.1337089894876	112.4847601854248	5.322528110961372
YKL185W	ASH1	30	94.06858883130084	487.0234733190714	5.1773230508696315
YGR205W	TDA10	30	42.907695419975155	221.003535750396	5.150673639943629
YKR013W	PRY2	30	338.15601891541485	1737.0361432851687	5.136789074038823
YJL078C	PRY3	30	68.86058256513797	351.68378660449605	5.107185758584373
